奇妙的时光之旅
守婚如玉
因为爱情有幸福
克拉恋人
球手们
爱的追踪
情谜睡美人之欲望姐妹
闯关东
终极一家
火蓝刀锋
我是特种兵之利刃出鞘
真爱遇到他
哭也不流泪
说老公的坏话
有爱的日子
大宅门
我们的法兰西岁月
纯真的年代
宁为女人
想飞
情定爱琴海
秋水长天
用一生去爱你
爷们儿
都是爱情惹的祸
古村女人
超人马大姐
老妈的三国时代
辣妈俏爸
康定情歌
劝和小组
小姨多鹤
幸福媳妇成长记
黑洞
喋血边城
极限追捕
新四大名捕
喋血孤岛
铁血青春
亮剑
国家公诉
不堪回首
攻心
女娲传说之灵珠
新三国
王的女人
黑冰
巴黎恋歌
冬至
我是真的
生活秀
爱情闯进门
天师钟馗
威胁
怎么会爱上你
牵牛的夏天
双人床单人房
少帅
大汉天子
爱情最美丽
摩登新人类
后海不是海
冷箭
枪侠
长安三怪探
边关烽火情
第二次人生
我要当八路
盾神
兵出潼关
谁都会说我爱你
杜鹃山
青岛往事
双响炮
上错花轿嫁对郎
多情江山
宋莲生坐堂
三个奶爸
风尘三侠之红拂女
龙非龙凤非凤
信访局长
怀玉公主之真心真爱
大道通天
老房有喜
寇老西儿
五月槐花香
大秦帝国之裂变
嫂子嫂子
所谓婚姻
剑谍
长大
傻儿传奇
士兵突击
特种兵之霹雳火
我的团长我的团
中国式离婚
你在微笑我却哭了
家有一老
大染坊
大宋提刑官
走西口
少林寺传奇藏经阁
油菜花香
你是我的眼
神探包青天
大年初一立春
空巢姥爷
还是夫妻
寂寞空庭春欲晚
情定三生
省港大营救
野山鹰
大好时光
因为爱
我爱男闺蜜
好运来临
两个女人的战争
欢天喜地对亲家
铁血战狼
麻辣芳邻
恋上黑天使
我是你的百搭
我们的纯真年代
虎妈猫爸
一枝花和尚
同心兄弟
新都市人
红色警戒
风云世家
倾城绝恋
青春正能量之我是女神
红绒花
我的二哥二嫂
正德演义
真诚
策马啸西风
惊险生活
女人的选择
罪证
煮妇神探
落差
千丝万缕
星座方程式
待嫁老爸
复婚
大管家
爱我你怕了吗
铁血红安
少年张三丰
结发夫妻
凯旋在子夜
家比天大
前妻的车站
憨妻的都市日记
肥猫寻亲记之明天会更好
宰相刘罗锅
白眉大侠
东江英雄刘黑仔
别忘了爱自己
南宋传奇之蟋蟀宰相
奶爸的爱情生活
非亲姐妹
陆小凤之决战前后
紫檀王
神探狄仁杰
青丘狐传说
新乱世佳人
明天我不是羔羊
卫生队的故事
特别使命
战地花开
二婶
再婚劫
